#  x                 y             frequency           intensity
0.0       0.00275153369485       25.97       0.51337
0.500062507813       0.00337271113005       34.14       0.97726
1.00012501563       0.00411867655461       51.46       2.33663
1.50018752344       0.00501088843854       69.37       0.66174
2.00025003125       0.00607372028201       92.59       1.42060
2.50031253907       0.00733470393623       126.38       1.34251
3.00037504688       0.00882476451431       136.23       0.44266
3.50043755469       0.010578440342       143.91       1.33581
4.00050006251       0.012634080604       155.83       2.84332
4.50056257032       0.0150340126257       166.50       0.71221
5.00062507813       0.0178246701256       192.94       3.80601
5.50068758595       0.0210566733268       214.63       4.15730
6.00075009376       0.0247848515548       227.59       1.08370
6.50081260158       0.029068198917       243.33       2.41932
7.00087510939       0.0339697538865       266.19       34.62430
7.5009376172       0.0395563941265       284.03       77.37549
8.00100012502       0.045898538712       287.75       27.49944
8.50106263283       0.0530697510454       326.10       18.44134
9.00112514064       0.0611462372161       327.37       41.19196
9.50118764846       0.0702062363202       370.95       9.14404
10.0012501563       0.0803293013035       379.85       2.40637
10.5013126641       0.0915954711827       391.22       4.43029
11.0013751719       0.104084338001       411.30       6.95298
11.5014376797       0.117874014511       442.03       4.17476
12.0015001875       0.133040011288       463.30       0.81022
12.5015626953       0.149654034721       481.25       8.57527
13.0016252032       0.167782719956       519.35       0.29383
13.501687711       0.187486315392       531.34       8.54172
14.0017502188       0.208817337642       545.55       5.32029
14.5018127266       0.231819217861       560.22       1.50915
15.0018752344       0.256524962083       568.36       7.71269
15.5019377422       0.282955849491       596.18       0.83492
16.00200025       0.311120193527       602.29       8.64430
16.5020627578       0.341012191243       637.78       3.44147
17.0021252657       0.37261088644       650.97       10.84103
17.5021877735       0.405879271914       652.21       46.77280
18.0022502813       0.440763555461       667.93       52.21475
18.5023127891       0.477192613435       678.05       20.22620
19.0023752969       0.515077654351       708.09       3.09024
19.5024378047       0.554312113582       730.64       13.73358
20.0025003125       0.594771798447       767.96       12.64547
20.5025628204       0.636315300997       783.38       4.28824
21.0026253282       0.678784693621       790.44       3.27899
21.502687836       0.722006520066       802.36       6.38354
22.0027503438       0.765793091655       833.17       2.11667
22.5028128516       0.809944095286       836.65       23.11187
23.0028753594       0.854248516081       849.41       3.21668
23.5029378672       0.898486873348       856.79       1.28722
24.003000375       0.942433763586       871.96       50.98522
24.5030628829       0.985860698669       883.65       7.48739
25.0031253907       1.02853922093       908.12       10.97635
25.5031878985       1.07024426967       929.57       18.12228
26.0032504063       1.11075776561       940.55       9.52111
26.5033129141       1.14987237119       945.20       4.56525
27.0033754219       1.18739537525       953.32       15.63808
27.5034379297       1.22315264122       974.35       0.45802
28.0035004376       1.25699254823       985.79       1.35823
28.5035629454       1.28878984518       987.61       0.36119
29.0036254532       1.31844932929       1011.46       13.61408
29.503687961       1.3459092533       1019.36       19.43834
30.0037504688       1.37114435949       1043.76       2.26254
30.5038129766       1.39416843555       1049.35       27.46284
31.0038754844       1.4150362861       1061.46       53.41884
31.5039379922       1.4338450163       1068.80       21.53379
32.0040005001       1.45073452956       1078.36       18.97559
32.5040630079       1.46588715131       1109.46       26.24787
33.0041255157       1.47952630423       1123.52       17.70633
33.5041880235       1.49191417804       1133.05       3.80760
34.0042505313       1.50334835879       1149.28       0.40043
34.5043130391       1.51415740728       1160.19       12.77745
35.0043755469       1.52469540465       1173.07       0.70277
35.5044380548       1.53533551371       1185.50       2.44067
