#  x                 y             frequency           intensity
0.0       0.042142847161       14.59       0.22222
0.500062507813       0.0471429047225       34.50       0.18281
1.00012501563       0.0525312105385       38.95       0.18922
1.50018752344       0.0583079850565       54.84       0.13590
2.00025003125       0.0644687613522       68.42       2.86547
2.50031253907       0.071003963517       107.77       0.62184
3.00037504688       0.0778985484392       139.20       0.45515
3.50043755469       0.0851317271406       147.53       0.41531
4.00050006251       0.0926767812986       156.63       0.66346
4.50056257032       0.100500989495       170.72       0.68920
5.00062507813       0.108565676064       193.42       0.82819
5.50068758595       0.116826393164       223.71       0.14332
6.00075009376       0.125233243898       232.74       0.48951
6.50081260158       0.13373135101       246.48       2.16413
7.00087510939       0.142261471953       250.51       1.12082
7.5009376172       0.150760757092       277.50       106.77546
8.00100012502       0.15916364348       292.59       6.87037
8.50106263283       0.167402872365       314.64       0.60800
9.00112514064       0.175410614235       342.43       1.36562
9.50118764846       0.183119681161       349.32       3.06816
10.0012501563       0.190464802489       364.73       1.85731
10.5013126641       0.19738393672       383.93       1.32953
11.0013751719       0.203819589873       421.02       0.63130
11.5014376797       0.209720108817       424.21       1.38358
12.0015001875       0.215040917137       451.29       2.07229
12.5015626953       0.219745661051       470.32       3.08952
13.0016252032       0.223807233819       512.62       2.10071
13.501687711       0.227208648956       527.34       9.83162
14.0017502188       0.22994373534       543.15       13.25335
14.5018127266       0.232017630934       555.85       5.47969
15.0018752344       0.233447056194       575.65       1.71079
15.5019377422       0.234260353266       578.52       10.35214
16.00200025       0.234497282527       597.82       4.46715
16.5020627578       0.234208573818       608.87       0.09093
17.0021252657       0.233455235679       630.89       9.76384
17.5021877735       0.232307631805       655.99       17.19993
18.0022502813       0.230844339658       657.30       47.27069
18.5023127891       0.22915081157       669.28       40.64977
19.0023752969       0.227317863528       698.28       0.73188
19.5024378047       0.22544002112       729.28       15.24362
20.0025003125       0.223613755642       766.85       9.41763
20.5025628204       0.221935646133       775.67       8.60875
21.0026253282       0.220500505015       792.93       2.87395
21.502687836       0.219399506027       819.36       5.37808
22.0027503438       0.218718353344       838.70       26.45446
22.5028128516       0.218535530047       848.04       9.76192
23.0028753594       0.218920662667       858.09       20.99880
23.5029378672       0.219933036216       865.24       6.90607
24.003000375       0.221620291241       876.95       5.25080
24.5030628829       0.224017330835       887.22       41.75884
25.0031253907       0.227145461492       895.63       2.95763
25.5031878985       0.231011787158       920.04       4.56241
26.0032504063       0.235608870957       933.25       9.82754
26.5033129141       0.240914673914       946.89       7.52313
