#  x                 y             frequency           intensity
0.0       0.000652755179059       29.65       0.62650
0.500062507813       0.000821389672607       36.38       0.02876
1.00012501563       0.00102956372851       47.48       0.51345
1.50018752344       0.00128547145217       73.27       0.86184
2.00025003125       0.00159873681691       86.61       1.02565
2.50031253907       0.00198060100705       133.92       0.12424
3.00037504688       0.00244412068144       134.87       1.25238
3.50043755469       0.0030043746676       141.74       0.29407
4.00050006251       0.0036786757464       153.74       0.65176
4.50056257032       0.00448678325143       177.94       1.68795
5.00062507813       0.0054511112023       209.37       0.74381
5.50068758595       0.00659692563933       219.32       5.67389
6.00075009376       0.00795252376005       227.36       1.76446
6.50081260158       0.00954938641294       245.45       0.27468
7.00087510939       0.0114222945262       266.59       2.62755
7.5009376172       0.0136093991916       309.05       3.33303
8.00100012502       0.016152234444       323.22       5.13880
8.50106263283       0.0190956613363       339.30       8.16671
9.00112514064       0.0224877317763       349.39       3.33221
9.50118764846       0.026379460824       375.65       15.32719
10.0012501563       0.0308244968159       405.64       0.85518
10.5013126641       0.0358786798273       410.92       8.51463
11.0013751719       0.0415994806667       426.91       51.32056
11.5014376797       0.0480453148239       443.82       3.47392
12.0015001875       0.0552747286038       461.08       8.78148
12.5015626953       0.0633454580293       476.98       4.59367
13.0016252032       0.0723133649806       525.32       10.64975
13.501687711       0.0822312593697       531.80       4.41640
14.0017502188       0.0931476208463       549.98       4.48436
14.5018127266       0.105105238466       552.12       1.28841
15.0018752344       0.118139791776       569.04       1.43400
15.5019377422       0.132278401704       600.32       8.81726
16.00200025       0.147538184299       610.45       2.42758
16.5020627578       0.163924844507       637.69       0.65584
17.0021252657       0.181431350618       650.36       3.75137
17.5021877735       0.2000367325       661.14       27.17105
18.0022502813       0.219705048131       662.34       44.41925
18.5023127891       0.240384562916       677.31       43.97391
19.0023752969       0.262007184905       697.38       4.49853
19.5024378047       0.284488195916       733.36       16.77594
20.0025003125       0.307726313973       770.52       6.64666
20.5025628204       0.331604116102       786.25       2.51623
21.0026253282       0.355988842673       801.75       0.46019
21.502687836       0.380733595188       820.79       9.92140
22.0027503438       0.405678928867       829.36       37.86329
22.5028128516       0.430654829936       840.70       13.74968
23.0028753594       0.455483055474       855.49       1.21083
23.5029378672       0.479979801359       860.70       12.87378
24.003000375       0.503958651819       883.00       17.22763
